query,rewritten,source,noisy_query
when do minerals precipitate out of a solution,"Under what conditions do minerals precipitate (crystallize, settle) out of a solution (liquid, mixture)?",natural_questions,when dp minrals precipitate out of a dolution
what is a pothole geography,"What is a pothole (crater, depression) in terms of road geography (topography, landscape)?",ms_marco,what is a pothole geography
"Who composed the tribute to the victims of 9/11 titled ""On the Transmigration of Souls""?","Who wrote (composed, created) the musical tribute ""On the Transmigration of Souls"" in memory of the 9/11 victims (casualties, survivors)?",,"Wo composed the tribut to the victms of 9/11 ritled ""On the rransmigration of Sould""?"
diverticulitis symptoms,"What are the signs (symptoms, indicators) and manifestations of diverticulitis (diverticular disease, colon condition)?",ms_marco,divrrticulitis dymptoms
difference between step sibling and half sibling,"What is the distinction (difference, contrast) between step-siblings (stepbrothers, stepsisters) and half-siblings (half-brothers, half-sisters)?",ms_marco,difference between step sibling and half sibling
where is the famous golden gate bridge located,"In what city (metropolis, town) is the iconic Golden Gate Bridge situated (located, found)?",natural_questions,where is rhe famou golden gate bridgr loxated
average pay for a mechanical insulation estimator,"What is the typical salary (compensation, wages) for a mechanical insulation estimator (specifier, assessor)?",ms_marco,average pay for a mechanical insulatoon estimatir
what type of pokemon is swellow,"What type of Pokémon is Swellow (species, classification, category)?",ms_marco,whqt type f pokemom is swellw
when was the first land before time made,"What was the release date of the first ""Land Before Time"" film (movie, animation) produced?",natural_questions,when was the frist land beforet ime made
what is the english name for eamon,"What is the English equivalent (translation, counterpart) for the Irish name Eamon (Éamon)?",ms_marco,what is the english name foreampn
What is the purpose of Orgasmaniacs.com?,"What is the objective (goal, intention) of the Orgasmaniacs.com website (platform, portal)?",,What isthe urpoes of Orgamaniac.scpm?
what does gene mean in biology,"What does the term ""gene"" (genetic unit, hereditary factor) signify in the context of biology (genetics, molecular biology)?",ms_marco,what does gene mean in biology
what is the size of a iphone 7 plus,"What is the dimensions (size, measurements) of an iPhone 7 Plus?",natural_questions,what is the size of a iphone 7 plus
should you eat before early morning workout,"Is it beneficial (advisable, recommended) to consume food (nourishment, meals) prior to an early morning exercise (workout, physical activity)?",ms_marco,should you eat before early morning workout
who is the current chairman of nab pakistan,"Who is the current chairperson (head, leader) of the National Bank of Pakistan (NBP)?",,who is the current chairman of nab pakistan
is staph infection contagious,"Is staphylococcal infection (MRSA, bacterial infection) transmissible (contagious, infectious) from person to person?",ms_marco,is ataph unfeecion contsgioud
who does mrs puff's voice on spongebob,"Who provides (voices, portrays) the voice of Mrs. Puff on the animated TV show SpongeBob SquarePants?",natural_questions,who does mrs puff's voice on spongebob
what is annular fissure,"What is an annular fissure (ring-shaped tear, circumferential crack) in the spine (backbone, vertebrae)?",ms_marco,qhqt is annulr fissure
when did the marines start doing the crucible,"When did the United States Marine Corps (USMC) introduce the Crucible (final test, initiation ritual) as a part of their boot camp (recruit training, basic training) program?",,whwn sid te marines start doing the rucuble
what is a DBA,"What is a Database Administrator (DBA, data manager, database coordinator)?",ms_marco,what is a DBA
where does the priest get ready for mass,"Where does the priest prepare (get ready, vest) for Mass (Eucharist, worship) in the sacristy (vestry, preparation room)?",,where does the priest get ready for mass
in 1945 the us dropped atomic bombs on the country of,"What were the consequences (effects, outcomes) of the United States dropping atomic bombs on Japan in 1945?",natural_questions,n 1945 the us drpopedatmoic bombs on the country of
"What are some unique features of the Kaanapali Golf Courses in Maui, Hawaii?","What are the distinctive characteristics (features, amenities) of the Kaanapali Golf Courses in Maui, Hawaii (Hawaiian Islands)?",,"What are some unique features of the Kaanapali Golf Courses in Maui, Hawaii?"
what vitamin is synthesized by intestinal bacteria,"What vitamin is produced (synthesized, generated) by gut (intestinal, enteric) microbiome (bacteria, microflora)?",ms_marco,what vitamin is synthesized by intestinal bacteria
who did the original through the key hole,"Who created the original ""Through the Keyhole"" (television program, TV show)?",natural_questions,who did the originql through the key hole
where does pati from pati's mexican table live,"Where does Pati Jinich (host, chef) from Pati's Mexican Table reside (live, dwell)?",natural_questions,where does pati from pati's meixan tqble live
who is the girl in the brenda's got a baby video,"Who is the female (woman, lady) actress in the music video for ""Brenda's Got a Baby"" by Tupac Shakur?",,who is the girl in the brenda's got a baby video
What is the main message of Psalm 23 according to the context?,"What is the central theme (main idea, key message) of Psalm 23 in its biblical context (setting, background)?",,What is the main message of Palm 23 according to the context?
when did the first fast and the furious come out,"What is the release date of the first film in the Fast and Furious (speed, racing) franchise?",natural_questions,when did the first fast and the furious come out
when did the street in front of the white house close,"When was the street (road, avenue) in front of the White House closed (shut, blocked) to traffic (vehicles, pedestrians)?",natural_questions,when did the street in front of the white house close
what character does seth green play on family guy,"What character does Seth Green portray (play, act, voice) on the animated TV series Family Guy?",natural_questions,what character does seth green play on family guy
Who was appointed as the Lead Move Manager for Bradford College's relocation to the new David Hockney building?,"Who was designated as the Head (Chief, Principal) Relocation Manager for Bradford College's move to the new David Hockney building?",,Who was appoinred as the Lead Move Manager for Bradford College's relocation t the new David Hockney building?
Who supported Paul Belloni Du Chaillu's expedition to explore Gabon?,"Who backed (supported, funded) Paul Belloni Du Chaillu's journey (expedition, venture) to explore (investigate, discover) Gabon?",,Who supported Paul Belloni Du Chaillu's ex[edition to explore Gabon?
Who scored the key bases-clearing knock that helped the Astros win over the Rays?,"What player hit the crucial (key, decisive) bases-loaded (bases-clearing, game-changing) home run that contributed to the Astros' victory over the Rays?",,Who scored the key bases-clearing knock that helped the Astros win over the Rays?
who starred in the man who never was,"Who played (starred, acted) in the film ""The Man Who Never Was""?",,who starred in the man who never was
percentage of babies born at 24 weeks that survive,"What is the survival rate (mortality rate, fatality rate) of infants born at 24 weeks of gestation (pregnancy)?",natural_questions,percentage of babies born at 24 weeks that survive
What is the new technology that the Global Market Development Center (GMDC) plans to unveil at its annual conference next month?,"What emerging innovations (technologies, advancements) will the Global Market Development Center (GMDC) launch (unveil, introduce) at its upcoming annual conference (event, meeting)?",,What is the new technology that the Golbal Markwt Developmnt Center (GMDC) plans to ynveil at its annual conferenc next month?
where do western gorillas live,"What is the geographic range (habitat, territory) of western lowland gorillas?",ms_marco,where do western goillas live
who is credited with performing the first heavier-than-air flight,"Who is credited with accomplishing the first powered (motorized), controlled, and sustained heavier-than-air (aerodynamic) flight?",natural_questions,who is credited with performing the first heavier-than-air flight
hemoglobin range infants,"What is the normal range of hemoglobin (Hb, hemoglobin levels) in infants (newborns, babies)?",ms_marco,hemoglovib rage infants
what is armoured cable used for,"What is armored (shielded) cable used for (applications, purposes)?",ms_marco,what is armoured cable used for
What are the three practices adhered to during Lent for a meaningful conversion?,"What are the three traditional disciplines (practices, customs) observed during Lent to facilitate a meaningful spiritual transformation (conversion, renewal)?",,What are the three practices adhered to during Lent for a meaningful conversion?
what does the book of numbers in the bible mean,"What is the significance (meaning, interpretation) of the Book of Numbers in the Bible?",natural_questions,what does the book of numbers i the bible mean
what does a rose stand for,"What does a rose symbolize (represent, signify, mean)?",ms_marco,what does  rose stand for
food contains melatonin,"What foods (edibles, cuisine) naturally contain melatonin (sleep hormone, serotonin)?",ms_marco,fo dvontapns mratunin
what foods contain collagen,"What foods are rich in collagen (protein, peptides)?",ms_marco,what foods contain collagen
how many eggs do eagles lay,What is the average clutch size (number of eggs) of eagles during their breeding season?,ms_marco,how many eggs do eagles lay
where is the thalmus located in the brain,"What is the location (position, site) of the thalamus (diencephalon) in the human brain (cerebrum, cerebral cortex)?",natural_questions,whereis h thlmusocated in th bari
what is a syncrometer,"What is a Syncrometer (frequency analyzer, resonance device)?",ms_marco,what is a syncrometer
what courts in the federal system are considered intermediate appellate courts,"What federal courts in the US judiciary system are classified as intermediate (mid-level, appellate) courts of appeal?",,what couets in the federal systen areconsiderrd intermedite appellate courts
how long can a cigar go without a humidor,"What is the maximum time period a cigar can survive (last, remain fresh) without being stored in a humidor (cigar storage container, humidified environment)?",ms_marco,how long can a cigar go without a humidor
how long should a generator be tested for,"What is the recommended duration (length, time) for testing a generator (power generator, backup generator)?",ms_marco,how long should a gerrator be tested for
where is your coccyx located,Where is the coccyx (tailbone) located in the human body?,ms_marco,where is your coccyx located
what is kohlrabi,"What is kohlrabi (German turnip, cabbage turnip, vegetable)?",ms_marco,what is kohlrabi
who is the mathematician who first use brackets to indicate grouping,"Who is the mathematician who first used parentheses (brackets, notation) to indicate grouping (clustering, categorization) in mathematics?",natural_questions,wh ois the mathemstician whofurst use vrackets ti indicate grouping
how long have chip and joanna been on tv,"What is the duration (length, span) of Chip and Joanna Gaines' television (TV, broadcast) career?",,how long have chip and joanna been on tv
which six kingdom are single celled organisms,"Which of the six kingdoms of life are comprised of single-celled (unicellular, microscopic) organisms?",ms_marco,which six kingdom are single celled organisms
standard work breaks per day,"What is the recommended (standard, typical) number of work breaks (rest periods, pauses) per day?",ms_marco,standard work breaks per day
who were the swarajists what was their purpose,"Who were the Swarajists (Indian nationalists, freedom fighters) and what was their objective (goal, mission)?",natural_questions,who were the swarajists what was their purpose
does peninsula truck lines haul truckload,"Does Peninsula Truck Lines offer truckload (full load, TL) freight hauling services?",ms_marco,does peninsula truck lines haul truckload
are the sacral vertebrae movable,"Are the sacral vertebrae (lower back bones) flexible (movable, adjustable) or fixed (immovable, rigid)?",ms_marco,are he axral vretebrae movble
Who is the main villain in the Dick Tracy serial?,"What is the identity of the primary antagonist (main villain, archenemy) in the Dick Tracy film (movie, serial, series)?",,Who is the main villain in the Dick Tracy serial?
Who will ride Bennetta and Norzita in the Group 1 2013 Coolmore Classic?,Who will be the jockeys (riders) for Bennetta and Norzita in the 2013 Group 1 Coolmore Classic horse race?,,Who will ride Bennetta and Norzita in the Grpup 1 2013 Coolmore vlassic?
what is a consonant digraph,"What is a consonant digraph (letter combination, phoneme pair)?",ms_marco,what is a consonant digraph
how far do you fall in two seconds,"What is the distance (length, height) you fall in two seconds (a short time, a brief period)?",natural_questions,how far do you fall in two seconds
What are some of the activities available near Cascade Mountain Ranch?,"What recreational activities (things to do, pursuits) are available in the vicinity (nearby, surrounding area) of Cascade Mountain Ranch?",,What are some of the activities available near Cascade Mountain Ranch?
highest altitude in ukraine,"What is the maximum (highest, tallest) elevation (altitude, height) in Ukraine?",ms_marco,highest altitdue in ukraine
define organization of american states,"What is the definition of the Organization of American States (OAS), also known as the Pan American Union?",ms_marco,die oraztion of ameicsn states
how long to cook chicken wings in rotisserie,"What is the recommended cooking time (duration) for chicken wings in a rotisserie (rotary oven, cooker)?",ms_marco,how long to cook chicken wings in rotisserie
where was the clean bandit i miss you video filmed,"Where was the music video for ""I Miss You"" by Clean Bandit (the British electronic group) filmed (shot, recorded)?",natural_questions,where was the clean babdut i mis you vde filmed
who played karen in married to the mob,"Who played the role (part, character) of Karen in the TV series ""Married to the Mob""?",natural_questions,who played karen in married to the ob
what is adrenaline,"What is adrenaline (epinephrine, adrenalin), and what are its functions (roles, effects) in the body (organism, physiology)?",ms_marco,hqat is adrenalint
who invented the hybrid car,"Who developed (created, designed) the first hybrid (electric-gasoline, fuel-efficient) vehicle (automobile, car)?",ms_marco,who invented the hybrid car
does kombucha help digestion,"Does kombucha improve (enhance, aid) digestion (gut health, digestive system)?",ms_marco,does jombucga help difestion
what is risser scale,"What is the Risser sign (classification, rating system) in scoliosis (spinal curvature) diagnosis?",ms_marco,what is risser scale
best time to visit kangaroo island australia,"What is the optimal (best, ideal) time to visit Kangaroo Island, Australia (KI, SA)?",ms_marco,bst time to visit kangaroo islandaustralia
"What are some of the features of the game ""Buffalo Slot Machine""?","What are the key characteristics (attributes, features) of the ""Buffalo Slot Machine"" game (casino game, slot game)?",,"What are some of the features of the game ""Buffalo Slot Machine""?"
what is microsoft branchcache,"What is Microsoft BranchCache (content delivery, network optimization) technology?",ms_marco,hwat is micrsoft besnchvache
what is considered poverty level for a single person,"What is the definition of poverty threshold (poverty line, income threshold) for a single individual (person, adult)?",ms_marco,what is considered poverty level for a single person
how much time to visit niagara falls,"What is the recommended duration (length, timeframe) of a trip to visit Niagara Falls?",ms_marco,how much time to visit niagara falls
What factors affected the growth of C. peruvianus in the Negev desert of Israel?,"What factors (determinants, influences) affected the growth of C. peruvianus in the Negev desert (arid region, wilderness) of Israel?",,What factors affected the growth of C. peruvianus in the Negev dser of Israel?
who wrote the prayer now i lay me down to sleep,"What is the author (writer, creator) of the prayer ""Now I Lay Me Down to Sleep""?",natural_questions,who rote the prayer no i la me diwn toleep
what did colin fry die of,"What was the cause of death (manner of death, fatal condition) of Colin Fry?",ms_marco,what did colin fry die of
What are some of the benefits of participating in the Wyndham Rewards Program at Ramada hotels?,"What are the advantages (benefits, perks) of joining the Wyndham Rewards Program at Ramada hotels?",,What are some of the benefits of participating in the Wyndham Rewards Program at Ramada hotels?
a common way to protect information being sent over a network when long distance is involved is,"What is a common method (approach, technique) to secure (protect, safeguard) data transmission (information, communication) over long-distance networks (wired, wireless connections)?",natural_questions,a comomn wya to protect inofrmationb eimg sent over a newtork when long distance isi nvolevd is
where is the male gametophyte found in seed plants,"Where is the male gametophyte (microgametophyte) located in seed plants (spermatophytes, flowering plants)?",ms_marco,where is the male gametophyte found in seed plants
who was the first woman who ran for vice president,"Who was the first female (woman, lady) candidate to run for Vice President (VP) of the United States?",natural_questions,who ws the first woman who ran fr vice presidemt
what type of animal is an echidna,"What type of mammal (creature, beast) is an echidna, classified as (in the category of)?",ms_marco,what type of animal is an echidna
what is linen chemically made of,"What is the chemical composition (structure, makeup) of linen (flax, textile)?",ms_marco,what is linen cheically made of
when does perks of being a wallflower take place,"In what time period (era, decade) is the novel/movie ""The Perks of Being a Wallflower"" set?",natural_questions,when dpes prrks of being a wallflower take place
what is the education required to become a psychotherapist,"What are the educational requirements (qualifications, credentials) to become a psychotherapist (therapist, counselor)?",ms_marco,what is the education required to become a psychotherapist
what is fertilization,"What is fertilization (conception, reproduction)?",ms_marco,what is fertilization
what progressive reforms did the platform of the bull moose party support,"What progressive reforms did the platform of the Progressive Party (Bull Moose Party, Progressive Bull Moose Party) support during the 1912 presidential election?",natural_questions,what progressive reforms did the platform of the bull moose party support
where was the movie skull island filmed at,"Where was the movie Kong: Skull Island filmed (shot, recorded) at (location, site)?",natural_questions,where was the movie skull island filmed at
Oxygen in blood is transported mainly,"How is oxygen in blood primarily (mainly, chiefly) transported?",ms_marco,Oxygen in lood is transporyed mainly
how often can you use miralax,"What is the recommended frequency (dosage, usage rate) for taking Miralax (polyethylene glycol, laxative medication)?",ms_marco,how often can you use miralax
which types of court cases does the eighth amendment deal with,"What types of legal proceedings (trials, lawsuits) are addressed by the Eighth Amendment's provisions (regulations, rules)?",ms_marco,which types of court cases does the eighth amendment deal with
What are some features of the 1965 Shelby Cobra replica?,"What are the key characteristics (attributes, specifications) of the 1965 Shelby Cobra replica (reproduction, duplicate) model?",,What are some features of the 1965 Shelby Cobra replica?
when did vancouver aquarium get rid of orcas,When did the Vancouver Aquarium stop keeping orcas (killer whales) in captivity?,,when did vancouver aquarium get rid of orcas
what is hgb in blood test mean,What does Hgb (hemoglobin) in a blood test result mean?,ms_marco,what is hbg in blood test mean
when did the nba add the shot clock,"When was the shot clock (timer, countdown) introduced in the NBA (National Basketball Association)?",natural_questions,when dd the bba add theshot clok
name of ancient roman palace,"What is the name of the ancient Roman imperial residence (palace, villa, mansion)?",ms_marco,name of anciebt romanpalace
where did the concept of informed consent first appear officially,"In what historical document or legislation did the principle of informed consent (voluntary agreement, informed permission) first emerge (appear, originate) officially?",natural_questions,where did the concept of nformed vonseny first appear oficially
How many results were found for the tag 'Drivetrain'?,"What is the number of search results (hits, matches) for the keyword (term, label) 'Drivetrain'?",,How many reuslts were found for the tag 'Drivetrain'?
at what age do babies start potty training,"At what age do infants typically begin toilet training (potty learning, diaper graduation)?",ms_marco,at what age do babies start potty training
average price of acre of land in brevard fl,"What is the average cost (price) of an acre of land in Brevard County, FL (Florida)?",ms_marco,average price of acre of land in brevard fl
where did the tampa bay lightning first play,Where did the Tampa Bay Lightning hockey team initially (first) play their home games?,natural_questions,where did the tampa bay lightning first play
who sang the song she drives me crazy,"Who was the artist (singer, musician) that performed the song ""She Drives Me Crazy""?",natural_questions,who sang the song she drives me crazy
when did nepal established diplomatic relation with britain,"When did Nepal establish (form, initiate) diplomatic relations (ties, connections) with the United Kingdom (Britain, UK)?",natural_questions,wehn did nepal established diplomatic relation with britain
who do you play as in assassins creed 4,"What playable characters (protagonists) are available in Assassin's Creed 4 (AC4, Black Flag)?",natural_questions,who do you play as in assassins creed 4
"What is the medium Jonathan Grider uses for his artwork titled ""Bobby Brown-Fist""?","What medium (material, technique) does artist Jonathan Grider employ in his artwork titled ""Bobby Brown-Fist""?",,"What is the medium Jonathan Grider use for his artwork titeld ""Bobby Brown-Fist""?"
who made the slogan no taxation without representation,"Who coined the phrase ""no taxation without representation"" (created, originated, authored)?",natural_questions,who made the slogan no taxation without representation
who poisoned joffrey in game of thrones book,"Who was responsible for the poisoning (murder, assassination) of King Joffrey in the Game of Thrones book series (novels, literature)?",natural_questions,who poiaoned jfrey in game f thrones book
is e coli contagious or infectious,"Is E. coli transmissible (contagious, infectious, communicable) through person-to-person contact or other means?",ms_marco,is ec oli contagiouso r infectious
how long fasting for blood glucose test,"What is the recommended duration (length, period) of fasting for a blood glucose (sugar) test?",ms_marco,how long fasting gor blod glucose test
What is the purpose of the Series 604 Differential Pressure Switch introduced by Clark Solutions?,"What is the function (objective, goal) of the Series 604 Differential Pressure Switch introduced by Clark Solutions?",,What is the purpose of the Series 604 Differential Pressure Switch introduced by Clark Solutions?
where was jackie robinson born,"In what city (town, location) was Jackie Robinson born?",ms_marco,where ws jackie robinson born
where is love it or list it recorded,"Where is the TV show ""Love It or List It"" filmed (recorded, taped, produced)?",natural_questions,where islove it or list it recotded
who plays victoria newman on young and the restless,"Who portrays (plays, acts) the character Victoria Newman on the soap opera ""The Young and the Restless""?",natural_questions,who plays victoria newman on youngand the restles
serapis name meaning,"What is the significance (meaning, origin) of the name Serapis?",ms_marco,serapis name meaning
how to decrease humidity in incubator,"How can I reduce (lower, minimize) humidity (moisture, dampness) levels in an incubator (hatchery, brooder)?",ms_marco,how to decrease humidity in incubator
is almond flour bad if you leave it unrefrigerated,"Is almond flour unsafe (harmful, spoiled) if you store it at room temperature (unrefrigerated, without chilling) for too long?",ms_marco,is almond flour bad if you leave it unrefrigerated
when did the winter and summer olympics start alternating,"When did the Winter and Summer Olympics begin (initiate, commence) to be held on an alternating (rotating, staggered) schedule?",natural_questions,when di the winter and summer olumpics start alternating
who wrote the most wonderful time of the year,"Who is the author (creator, writer) of the song ""It's the Most Wonderful Time of the Year""?",natural_questions,who wrote the most wonderful time of the year
who plays flash in the flash tv show,"Who portrays (plays, acts) the Flash in the CW TV series ""The Flash""?",natural_questions,who plays flash in the flash tv show
who had an album called moondance,"Which artist (musician, singer) had an album titled Moondance (Moon Dance)?",ms_marco,ho had a albumcalled moondnce
who are the elected officials in the pennsylvania legislature that represent you,"Who are the elected representatives (legislators, lawmakers) in the Pennsylvania state legislature that represent my (your, our) district (constituency, area)?",natural_questions,who are the elected officials in tje pensylvania legsalture that represent you
what was the highest scoring major league baseball game,What was the highest scoring game in Major League Baseball (MLB) history?,natural_questions,what was the highest scoring major league baseball game
who is credited with first measuring the charge of the electron,"Who is credited with making the initial (first, original) measurement of the electron's electric charge (electrical charge, electron charge)?",natural_questions,hwoi  scredtied with first measuring thec harge o fthe electrno
does the peroneal nerve serve muscles of the chest shoulder arm leg or abdomen,"Does the peroneal nerve innervate (supply, control) muscles in the chest (thorax), shoulder (deltoid), arm (upper limb), leg (lower limb), or abdomen (belly)?",ms_marco,does th eperoneal nerv serve mscles of the chest shoulerarm leg or abdomen
law giving 160 acres of western land to anyone who would cultivate it for five years,"What is the legislation (law, act, statute) that grants 160 acres of western land to settlers who agree to farm (cultivate, till) it for five years?",natural_questions,law giving 160 acres of western land to anyone who would cultivate it for five years
how colonization affect the literature of the philippines,"How did colonization (imperialism, settlement) impact (influence, affect) the literature (written works, literary tradition) of the Philippines?",natural_questions,how colonization affect thw literature oft he philippines
when was dna technology first used in forensics,"When was DNA (genetic) technology first utilized (applied, employed) in forensic (crime, legal) science?",natural_questions,when was dna technology fisrt uesd i nforensics
what part of the kidney senses changes in blood pressure,"What part of the kidney detects (senses, monitors) changes in blood pressure (hypertension, vascular pressure)?",,what psrt f the kidey senses chnges inblood pressure
what does the ferpa law specifically protect,"What does the FERPA (Family Educational Rights and Privacy Act) law specifically protect in terms of student educational records (data, information, privacy)?",ms_marco,what does th ferpa law specifiacllyprotect
What was the issue with the T's trip planner on mbta.com regarding the Orange Line?,"What problems (issues, glitches) did the MBTA's trip planner on mbta.com have with the Orange Line route (schedule, itinerary)?",,What was the issue wirh the T's trp planner on mbta.ocm regarding the Orange Lien?
turbinectomy definition,What is the definition of turbinate (nasal concha) resection or turbinatectomy?,ms_marco,turbinectomy definition
who played the role of nargis in sanju,"Who portrayed (played, acted) the character of Nargis in the movie Sanju?",natural_questions,who playes the role of nrfis in sqnju
is the process by which dna is converted to mrna (messenger rna),"What is the process (mechanism, pathway) by which DNA is transcribed (converted, translated) into mRNA (messenger RNA)?",ms_marco,is tj eprocess by whicj dna is convrrted to mrna (messenger rna)
all of me loves all of you artist,"Which artist sings the song ""All of Me"" that has the lyrics ""Loves all of you""?",natural_questions,all of me loves all of you artist
what elevation datum does my garmin gps use,"What elevation datum (reference, benchmark) does my Garmin GPS device utilize (employ, operate with)?",ms_marco,what elevation datum does my garmin gps use
how much does it cost to rent a dj for a wedding,"What is the average cost (expense, price) of hiring a DJ (disc jockey, music entertainer) for a wedding reception (ceremony, nuptials)?",ms_marco,how uch does it cos tt orent a dj for a wedding
what are building blocks of nucleotides dna or rna,"What are the fundamental components (building blocks, constituents) of nucleotides in DNA (deoxyribonucleic acid) or RNA (ribonucleic acid)?",ms_marco,what are building blocks of nucleotdies dnao r rna
what is a cultural symbol,"What is a cultural icon (symbol, emblem, representation) in society?",ms_marco,what is a cultural symbol
what is GPR scanning,"What is Ground Penetrating Radar (GPR) scanning (imaging, probing)?",ms_marco,what os GPR scanning
when does izzy find out she has cancer,"When does Izzy discover she has (is diagnosed with) cancer (tumor, malignancy)?",,when does izzy find out she has cancer
who wrote this guy's in love with you,"Who wrote the song ""This Guy's in Love with You"" (author, composer)?",natural_questions,who wrote thisg uy's in love with you
Who are exempt from having a valid visa before boarding their airplane to Australia?,"What individuals (people, nationals) are exempt (free, excluded) from holding a valid visa (entry permit, travel authorization) before boarding their airplane to Australia?",,Who are exempt from having a valid visa before boarding their airplane to Australia?
who win three time nobel prize for peace,Who has won the Nobel Peace Prize three times (on three occasions)?,natural_questions,who win three time nobel prize for peace
when was washington appointed general of the continental army,"When was George Washington appointed commander-in-chief (general, leader) of the Continental Army?",natural_questions,when was washingtn appointed general if the cobtinental army
who replaced cornelius fudge as minister of magic,"Who succeeded Cornelius Fudge as the Minister of Magic (Head of the Ministry of Magic, Magical Governor)?",natural_questions,who replaced cornelius fudg as minister of magic
when is tachycardia normal,"When is a rapid heart rate (tachycardia, fast heartbeat) considered normal (typical, usual)?",ms_marco,when is tachycardia normal
who examines and debates the article of impeachment,"Who investigates and discusses (examines, reviews) the articles (charges, accusations) of impeachment?",natural_questions,hi examines ad ebates the aricle of impeachment
cells attracted to the site of infection by il-8 are,"What types of cells are drawn (attracted, recruited) to the site of infection by Interleukin-8 (IL-8, chemokine) and which ones specifically respond?",natural_questions,cellsa ttracted ot the site of infecion by il-8 rae
What are some of the features of the KD Wise Seat electric wheelchair?,"What are the key characteristics (features, specifications) of the KD Wise Seat electric wheelchair (power chair, motorized wheelchair)?",,What are some of the features of the KD Wise Seat electric wheelchair?
what is a motor armature,"What is a motor armature (rotor, coil) and its function (role, purpose) in an electric motor?",ms_marco,what is a motor armature
when did and justice for all come out,"When was the release date of the album ""And Justice for All"" by Metallica?",natural_questions,when fid and justice for all cpme out
lino name meaning,"What is the origin and significance (meaning, definition) of the given name Lino (Linus)?",ms_marco,lino name meaning
what is munstead lavender used for,"What is Munstead lavender used for (benefits, purposes) in gardening (horticulture), medicine (health), or crafts (potpourri)?",ms_marco,what is munstead lavender used for
what is the north carolina voter id law,"What is the North Carolina voter identification (ID, photo ID) law (legislation, statute)?",ms_marco,what is the north carolina voter id law
What was the man's initial impression of Clara Tribeck?,What was the protagonist's (main character's) first impression of Clara Tribeck?,,Wat was the man's initial impression of Clara Tribeck?
What did the person do to alleviate the pain from the blisters on their heels?,"How did the individual relieve (alleviate, mitigate) the discomfort (pain, soreness) caused by the blisters on their heels (heel area, foot)?",,What did the person do to alleviate the pain from the blisters on their heels?
who sings i am the eye in the sky,"Who performs (sings, records) the song ""I Am the Eye in the Sky"" by (artist, band)?",natural_questions,who sings i am the eye in the sky
what movie is all the young dudes in,"What movie features all the young dudes (youths, teenagers), specifically the actors (stars, cast members) known for playing young characters?",natural_questions,what movie is all the young dudes in
What is the most popular beer in South Africa?,"What is the best-selling (most popular, top-selling) beer brand in South Africa?",,Whst is the mosr poplar beet on South Africa?
clearwater bc average weather,"What is the typical (average, normal) climate (weather, atmospheric conditions) in Clearwater, BC?",ms_marco,clearwater bc average weather
average temperature for april in coolangatta qld,"What is the average temperature (mean climate, thermal reading) in April for Coolangatta, QLD (Queensland, Australia)?",ms_marco,average emperaure for april in coolangatta qld
"What are some of the events happening at the Old Navy Wing in Oxmoor Center, Louisville?","What events (activities, happenings) are taking place at the Old Navy Wing in Oxmoor Mall (shopping center), Louisville, KY?",,"What are some of the events happening at the Old Navy Wing in Oxmoor Center, Louisville?"
What is the theme of International Women's Day as mentioned in the context?,"What is the significance (theme, purpose) of International Women's Day in its cultural context?",,What is the theme of International Women's Day as mentioned in the context?
What is the expected weather condition in Northeast Michigan for the next few days?,"What is the forecasted weather (climate, atmospheric conditions) outlook in Northeast Michigan for the next several days (week, forecast period)?",,What is the expected weather condition in Northeast Michigan for the next few days?
can criminal behavior be inherited,"Can criminal behavior be genetically inherited (passed down, inherited) or is it influenced by genetic predisposition (tendency, inclination)?",ms_marco,can criminal behavior be inherited
average temperatures in prague,"What are the typical (average, mean) temperatures in Prague, Czech Republic (weather, climate)?",ms_marco,average temperatures in prague
what did impressionist painters use,"What materials (tools, mediums) did Impressionist artists (painters, masters) typically use (employ, utilize) in their work (creations, pieces)?",ms_marco,what did impressionst apinters use
when was the first in vitro baby born,When was the first baby conceived through in vitro fertilization (IVF) born?,natural_questions,when was the first in vitro baby born
What are some of the personal facts about Vitor?,"What are some biographical (personal, private) details about Vitor Belfort (the martial artist, UFC fighter)?",,What are some of the personal facts about Vitor?
meaning of the name Channel,"What is the origin (meaning, significance) of the name Channel (Canal, waterway)?",ms_marco,meaning of the name Channel
who sang make the world go away in legend,"Who performed (sang, recorded) ""Make the World Go Away"" in the movie (film, legend) ""Legend""?",natural_questions,who sang make the world go awat inl egend
what does botox to body,"What does Botox do to the body (physique, system), and what are its effects (consequences, outcomes)?",ms_marco,what deos botox to body
how much do footballers earn a week,"What is the average weekly salary (wage, income) of professional football (soccer) players?",ms_marco,how much do footballers earn a week
"Who are the two horses with a chance to win in the 3.10 Lingfield: Maiden Stakes, 1m 5f race?","Which two horses have the best odds (chances, prospects) of winning the 3.10 Lingfield Maiden Stakes, a 1 mile 5 furlong (distance) race?",,"Who are the two horses with a chance to win in he 3.10 Lingfield: Maiden Stakes, 1m 5f race?"
What was Dick Daughtry's role in his high school football team?,"What was Dick Daughtry's position (role, part) in his high school football squad (team, club)?",,What was Dick Daughtry's role in his high school football team?
inflation means specific prices are rising and relative prices are falling,"What does it mean when inflation causes certain prices to increase (escalate, surge) and others to decrease (drop, decline) in relative terms (proportion, value)?",natural_questions,inflation meams specific prices are rising and relative prices are falling
